month,campus,campus_weight,allocated_spend,target_leads,target_appointments,target_demos,target_enrollments
Jan 26,Campus 1,0.045455,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 2,0.045455,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 3,0.045455,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 4,0.045455,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 5,0.045455,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 6,0.045455,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 7,0.045455,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 8,0.045455,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 9,0.045455,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 10,0.045455,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 11,0.045455,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 12,0.045455,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 13,0.045455,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 14,0.045455,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 15,0.045455,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 16,0.045455,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 17,0.045455,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 18,0.045455,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 19,0.045455,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 20,0.045455,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 21,0.045455,0.0,0.0,0.0,0.0,0.0
Jan 26,Campus 22,0.045455,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 1,0.045455,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 2,0.045455,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 3,0.045455,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 4,0.045455,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 5,0.045455,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 6,0.045455,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 7,0.045455,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 8,0.045455,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 9,0.045455,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 10,0.045455,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 11,0.045455,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 12,0.045455,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 13,0.045455,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 14,0.045455,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 15,0.045455,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 16,0.045455,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 17,0.045455,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 18,0.045455,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 19,0.045455,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 20,0.045455,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 21,0.045455,0.0,0.0,0.0,0.0,0.0
Feb 26,Campus 22,0.045455,0.0,0.0,0.0,0.0,0.0
Mar 26,Campus 1,0.045455,36000.0,265.1273,13.8087,5.5235,1.657
Mar 26,Campus 2,0.045455,36000.0,265.1273,13.8087,5.5235,1.657
Mar 26,Campus 3,0.045455,36000.0,265.1273,13.8087,5.5235,1.657
Mar 26,Campus 4,0.045455,36000.0,265.1273,13.8087,5.5235,1.657
Mar 26,Campus 5,0.045455,36000.0,265.1273,13.8087,5.5235,1.657
Mar 26,Campus 6,0.045455,36000.0,265.1273,13.8087,5.5235,1.657
Mar 26,Campus 7,0.045455,36000.0,265.1273,13.8087,5.5235,1.657
Mar 26,Campus 8,0.045455,36000.0,265.1273,13.8087,5.5235,1.657
Mar 26,Campus 9,0.045455,36000.0,265.1273,13.8087,5.5235,1.657
